English,Russian
a,
ability,способность
able,способный
about,о
above,выше
accept,принимать
according,в соответствии
account,учетная запись
across,через
act,действовать
action,действие
activity,Мероприятия
actually,фактически
add,Добавлять
address,адрес
administration,администрация
admit,признавать
adult,для взрослых
affect,оказывать воздействие
after,после
again,очередной раз
against,против
age,возраст
agency,агентство
agent,агент
ago,тому назад
agree,дать согласие
agreement,соглашение
ahead,предстоящий
air,воздуха
all,все
allow,позволять
almost,почти
alone,один
along,вдоль
already,уже
also,также
although,хотя
always,всегда
American,американский
among,среди
amount,количество
analysis,анализ
and,а также
animal,животное
another,Другой
answer,отвечать
any,любой
anyone,кто-нибудь
anything,что-нибудь
appear,появляться
apply,применять
approach,подход
area,область
argue,спорить
arm,рука
around,вокруг
arrive,прибыть
art,Изобразительное искусство
article,статья
artist,художник
as,в виде
ask,спросить
assume,предполагать
at,в
attack,атака
attention,внимание
attorney,адвокат
audience,аудитория
author,автор
authority,власть
available,имеется в наличии
avoid,избегать
away,далеко
baby,малыш
back,назад
bad,Плохо
bag,мешок
ball,мяч
bank,банк
bar,бар
base,база
beat,бить
beautiful,красивая
because,так как
become,стали
bed,кровать
before,перед
begin,начинать
behavior,поведение
behind,за
believe,полагать
benefit,выгода
best,Лучший
better,лучше
between,между
beyond,вне
big,большой
bill,законопроект
billion,миллиард
bit,немного
black,чернить
blood,кровь
blue,синий
board,доска
body,тело
book,книга
born,родившийся
both,оба
box,коробка
boy,мальчик
break,перерыв
bring,приносить
brother,родной брат
budget,бюджет
build,строить
building,строительство
business,бизнес
but,но
buy,купить
by,от
call,вызов
camera,камера
campaign,кампания
can,может
cancer,рак
candidate,кандидат
capital,столица
car,машина
card,карта
care,забота
career,карьера
carry,нести
case,дело
catch,ловить
cause,причина
cell,клетка
center,центр
central,центральный
century,века
certain,определенный
certainly,безусловно
chair,стул
challenge,вызов
chance,шанс
change,менять
character,персонаж
charge,заряжать
check,проверять
child,ребенок
choice,выбор
choose,выберите
church,церковь
citizen,гражданин
city,город
civil,гражданского
claim,требовать
class,класс
clear,Чисто
clearly,четко
close,Закрыть
coach,тренер
cold,холодный
collection,коллекция
college,колледж
color,цвет
come,прийти
commercial,коммерческая
common,общий
community,сообщество
company,Компания
compare,сравнивать
computer,компьютер
concern,беспокойство
condition,условие
conference,конференция
Congress,конгресс
consider,рассмотреть возможность
consumer,потребитель
contain,содержать
continue,Продолжать
